LONGITUDE,LAT,LABEL,NAME,Substation,PrimaryFee,PrimaySubs,County,InternalSb,CustomersS,PhysicalLo
35.67775694,0.363379722,102225 - KAPRIRIKANIA PRIMARY,102225 - KAPRIRIKANIA PRIMARY,102225,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300674755,3,karirikania primary school
36.04974333,0.352898056,102227 - PARK VIEW PRI SCH,102227 - PARK VIEW PRI SCH,102227,GAME PARK 11KV EX MWARIKI,MWARIKI 33/11KV,Nakuru,300674757,0,park view school
36.52126361,0.901389167,102425 - MUNENGI PRY SCHL,102425 - MUNENGI PRY SCHL,102425,TOWN 11KV EX MAI MAHIU,MAI MAHIU 66/11 SUB STATION,Nakuru,300674973,3,MAI MAHIU
36.53355039,0.93429575,102426 - CBC JIKAZE,102426 - CBC JIKAZE,102426,TOWN 11KV EX MAI MAHIU,MAI MAHIU 66/11 SUB STATION,Nakuru,300674974,0,NAIVASHA RD
36.50856833,0.788203056,102428 - NYAMATHI PRY SCHL,102428 - NYAMATHI PRY SCHL,102428,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300674976,0,NRB/NKR HIGHWAY
36.43985667,0.766180278,102429 - VILLA VIEW ESTATE,102429 - VILLA VIEW ESTATE,102429,KIHOTO SOUTHLAKE 11KV,KIHOTO SUBSTATION,Nakuru,300674977,0,VILLA VIEW ESTATE
36.43586406,0.766479167,102430 - VILLLA VIEW,102430 - VILLLA VIEW,102430,TOWN FEEDER 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300674978,0,VILLA VIEW
36.31822231,0.818072472,102431 - KENGEN OFFICES,102431 - KENGEN OFFICES,102431,DCK NAROK 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300674979,0,KENGEN OFFICES
36.11963,0.641977222,102605 - TANGI TANO PRI SCH,102605 - TANGI TANO PRI SCH,102605,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300675146,9,KIAMBOGO
36.11651306,0.628771667,102606 - TEE MKT,102606 - TEE MKT,102606,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300675147,14,KIAMBOGO
36.16356,0.604895278,102607 - MOROP PRI SCH &MKT,102607 - MOROP PRI SCH &MKT,102607,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300675148,0,KONGASIS
36.16964806,0.561334444,102608 - CBC KONGASISIS,102608 - CBC KONGASISIS,102608,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300675149,0,KONGASIS
36.19285528,0.575228056,102610 - OLJORAI PRI SCH,102610 - OLJORAI PRI SCH,102610,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300675151,3,KONGASIS
36.17694639,0.605596667,102611 - OLE SIRWA PRIMARY SC,102611 - OLE SIRWA PRIMARY SC,102611,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300675152,3,KONGASIS
36.37318,0.419002944,102613 - NGETETI PRI/SEC SCHS,102613 - NGETETI PRI/SEC SCHS,102613,CAPTAIN  11KV EX OLKALOU,OLKALOU SUBSTATION,Nakuru,300675154,0,NAKURU
36.37841333,0.497993333,102615 - NGUMO PRI SCH,102615 - NGUMO PRI SCH,102615,GILGIL TOWN 11KV EX GILGI,GILGIL,Nakuru,300675156,6,NAKURU
36.54064972,0.770514167,102667 - SUPPLY TO BOOKER,102667 - SUPPLY TO BOOKER,102667,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300675207,0,maraigushu village
36.44125194,0.770766667,102668 - MUSAKA AREA,102668 - MUSAKA AREA,102668,KIHOTO SOUTHLAKE 11KV,KIHOTO SUBSTATION,Nakuru,300675208,0,la clasa  estate
36.44163694,0.772972778,102669 - MUSAKA AREA,102669 - MUSAKA AREA,102669,KIHOTO SOUTHLAKE 11KV,KIHOTO SUBSTATION,Nakuru,300675209,12,musaka area
36.43427942,0.713849444,102670 - UCHUMI NAIVASHA,102670 - UCHUMI NAIVASHA,102670,KIHOTO NAIVASHA TOWN 11KV,KIHOTO SUBSTATION,Nakuru,300675210,195,NAIVASHA RD
36.47351056,0.750436083,102671 - KAYOLE REIN,102671 - KAYOLE REIN,102671,GILGIL INTERCONN 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300675211,0,KEYOLE NAIVASHA
36.23721611,0.760765833,102672 - NAIVASHA HURUMA,102672 - NAIVASHA HURUMA,102672,TOWN FEEDER 33KV EX SUSWA,NAIVASHA SUBSTATION,Nakuru,300675212,0,HURUMA NAIVASHA
36.12684194,0.615951667,102713 - ELEMENTAITA SEC SCH,102713 - ELEMENTAITA SEC SCH,102713,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300675253,3,KIAMBOGO
35.58524047,0.476724444,102730 - KARAU  MKT AND PRY S,102730 - KARAU  MKT AND PRY S,102730,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300675270,0,KERINGET
35.68178944,0.513109444,102731 - NGENDA  PRY SCHOOL,102731 - NGENDA  PRY SCHOOL,102731,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300675271,0,KERINGET
35.95614111,0.147280556,102736 - RAFIKI FARM,102736 - RAFIKI FARM,102736,UNIVERSITY FEEDER EX KABARAK,KABARAK 33/11 SUBSTATION,Nakuru,300675280,0,sun and shield school kabarnet
35.61696792,0.660661944,102777 - KAPLAMBOI PRIMARY SC,102777 - KAPLAMBOI PRIMARY SC,102777,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300675317,3,KAPLAMBOI
